 Mulai Proses ------------------------------ 2023-08-16 11:57:13
Err 	 goods_receive 	 no : 	 4900001060 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001060-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001061 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001061-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001062 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001063 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001064 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001064-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001065 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001066 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001066-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001067 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001068 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001068-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001069 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001069-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001070 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001070-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001071 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001072 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001072-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001073 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001073-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001074 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001074-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001075 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001075-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001076 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001076-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001077 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001077-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001078 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001078-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001079 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001080 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001082 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001084 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001084-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001086 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001087 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001087-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001088 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001088-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001090 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001090-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001091 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001091-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001092 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001092-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001093 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001093-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001094 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001094-D3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001095 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001095-I2322' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001096 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001097 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001097-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001098 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001098-D3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001099 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001099-T3022' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001100 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001101 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001101-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001102 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001102-I2322' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001103 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001103-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001104 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001104-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001105 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001105-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001106 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001106-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001107 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001107-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001108 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001108-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001109 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001109-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001110 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001110-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001111 	 SQLSTATE[01000]: Warning: 1265 Data truncated for column 'total_amount' at row 1
Err 	 goods_receive 	 no : 	 4900001112 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001112-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001113 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001113-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001114 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001114-' for key 'Index 3'
Err 	 goods_receive 	 no : 	 4900001115 	 SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '4900001115-' for key 'Index 3'
